20250729131605,40.00,26.60
20250729131607,40.00,27.00
20250729131609,40.00,26.90
20250729131611,40.00,26.70
20250729131613,40.00,26.60
20250729131615,40.00,26.50
20250729131617,40.00,26.50
20250729131619,40.00,26.50
20250729131621,40.00,26.50
20250729131623,40.00,26.50
20250729131625,40.00,26.50
20250729131627,40.00,26.50
20250729131629,40.00,26.50
20250729131631,40.00,26.50
20250729131633,40.00,26.60
20250729131635,40.00,26.70
20250729131637,40.00,26.60
20250729131639,40.00,26.60
20250729131641,40.00,26.60
20250729131643,40.00,26.50
20250729131645,40.00,26.60
20250729131647,40.00,26.50
20250729131649,40.00,26.60
20250729131651,40.00,26.60
20250729131653,40.00,26.60
20250729131655,40.00,26.60
20250729131657,39.90,26.60
20250729131659,39.90,26.50
20250729131701,39.90,26.60
20250729131703,39.90,26.50
20250729131705,39.90,26.60
20250729131707,39.90,26.50
20250729131709,39.90,26.60
20250729131711,39.90,26.60
20250729131713,39.90,26.60
20250729131715,39.80,26.60
20250729131717,39.90,26.60
20250729131719,39.90,26.80
20250729131721,39.90,26.90
20250729131723,39.90,27.20
20250729131725,39.80,26.80
20250729131727,39.80,26.80
20250729131729,39.80,26.90
20250729131731,39.80,27.00
20250729131733,39.80,26.80
20250729131735,39.80,26.70
20250729131737,39.80,26.70
20250729131739,39.80,26.70
20250729131741,39.80,26.70
20250729131743,39.80,26.80
20250729131745,39.80,26.80
20250729131747,39.90,27.90
20250729131749,39.90,27.60
20250729131751,39.90,28.80
20250729131753,39.90,28.50
20250729131755,39.90,28.50
20250729131757,39.90,29.40
20250729131759,39.90,29.00
20250729131801,39.90,29.90
20250729131803,39.90,28.80
20250729131805,39.90,29.10
20250729131807,39.90,29.00
20250729131809,39.90,29.40
20250729131811,39.90,29.00
20250729131813,39.90,29.90
20250729131815,39.80,29.20
20250729131817,39.80,29.80
20250729131819,39.80,29.10
20250729131821,39.80,29.90
20250729131823,39.80,29.40
20250729131825,39.80,29.50
20250729131827,39.80,28.80
20250729131829,39.80,29.20
20250729131831,39.80,29.20
20250729131833,39.80,29.40
20250729131835,39.70,29.40
20250729131837,39.80,29.40
20250729131839,39.70,29.50
20250729131841,39.70,29.30
20250729131843,39.70,29.10
20250729131845,39.70,28.70
20250729131847,39.70,28.80
20250729131849,39.70,28.60
20250729131851,39.70,27.90
20250729131853,39.70,27.50
20250729131855,39.80,27.60
20250729131857,39.70,27.50
20250729131859,39.80,27.40
20250729131901,39.80,27.60
20250729131903,39.80,27.60
20250729131905,39.80,27.60
20250729131907,39.80,27.50
20250729131909,39.80,27.20
20250729131911,39.80,27.00
20250729131913,39.80,27.00
20250729131915,39.80,27.00
20250729131917,39.80,26.90
20250729131919,39.80,27.30
20250729131921,39.80,27.20
20250729131923,39.80,27.20
20250729131925,39.80,27.10
20250729131927,39.80,27.00
20250729131929,39.80,26.90
20250729131931,39.80,26.80
20250729131933,39.80,26.80
20250729131935,39.80,26.80
20250729131937,39.80,26.70
20250729131939,39.80,26.70
20250729131941,39.80,28.10
20250729131943,39.80,28.10
20250729131945,39.80,27.90
20250729131947,39.80,27.40
20250729131949,39.80,27.10
20250729131951,39.90,27.00
20250729131953,39.90,26.90
20250729131955,39.90,26.90
20250729131957,39.90,26.80
20250729131959,39.90,26.80
20250729132001,39.90,26.70
20250729132004,39.90,26.70
20250729132006,39.90,26.70
20250729132008,39.90,26.60
20250729132010,39.90,26.60
20250729132012,39.90,26.60
20250729132014,39.90,26.60
20250729132016,39.90,26.60
20250729132018,39.90,26.60
20250729132020,39.90,26.50
20250729132022,39.90,26.60
20250729132024,39.90,26.60
20250729132026,39.90,26.50
20250729132028,39.90,26.50
20250729132030,39.90,26.50
20250729132032,39.90,26.50
20250729132034,39.90,26.60
20250729132036,39.90,26.60
20250729132038,39.90,26.50
20250729132040,39.90,26.50
20250729132042,39.90,26.50
20250729132044,39.90,26.60
20250729132046,39.90,26.60
20250729132048,39.90,26.60
20250729132050,39.90,26.60
20250729132052,39.80,26.60
20250729132054,39.80,26.60
20250729132056,39.90,26.60
20250729132058,39.90,26.60
20250729132100,39.90,26.60
20250729132102,39.90,26.60
20250729132104,39.90,26.70
20250729132106,39.90,26.80
20250729132108,39.90,26.90
20250729132110,39.90,27.10
20250729132112,39.90,27.10
20250729132114,39.90,27.10
20250729132116,40.00,27.10
20250729132118,40.00,27.00
20250729132120,40.00,27.00
20250729132122,40.00,27.00
20250729132124,40.00,27.00
